Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
BMW i3s	.6	2	Auto-1	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LBMXV00.6I3R	small car	7	30/107	31/93	31/100	10	Elite
BMW i3s	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LBMXV00.0I3B	small car	10	124	102	113	10	Elite
BMW i3s	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LBMXV00.0I3B	small car	10	124	102	113	10	Elite
BUICK Encore GX	1.3	3	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LGMXV01.3545	small SUV	7	30	32	31	7	Yes
BUICK Encore GX	1.3	3	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LGMXV01.3545	small SUV	7	30	32	31	7	Yes
BYD e6	N/A	N/A	Auto-1	2WD	Electricity	FA	B1	Federal Tier 2 Bin 1	LBYDV0000001	small SUV	10	73	71	72	10	Elite
CHEVROLET Bolt EV	N/A	N/A	CVT	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LGMXV00.0002	station wagon	10	127	108	118	10	Elite
CHEVROLET Bolt EV	N/A	N/A	CVT	2WD	Electricity	CA	ZEV	California ZEV	LGMXV00.0002	station wagon	10	127	108	118	10	Elite
CHEVROLET Malibu	1.5	4	CVT	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LGMXV01.5002	midsize car	6	29	36	32	7	Yes
CHEVROLET Malibu	1.5	4	CVT	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LGMXV01.5002	midsize car	6	29	36	32	7	Yes
CHEVROLET Malibu	1.5	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LGMXV01.5010	midsize car	7	29	36	32	7	Yes
CHEVROLET Malibu	1.5	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LGMXV01.5010	midsize car	7	29	36	32	7	Yes
CHEVROLET Spark	1.4	4	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LGMXV01.4050	small car	5	30	38	33	7	Yes
CHEVROLET Spark	1.4	4	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LGMXV01.4050	small car	5	30	38	33	7	Yes
CHEVROLET Spark	1.4	4	Man-5	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LGMXV01.4050	small car	5	29	38	33	7	Yes
CHEVROLET Spark	1.4	4	Man-5	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LGMXV01.4050	small car	5	29	38	33	7	Yes
CHEVROLET Spark Activ	1.4	4	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LGMXV01.4050	small car	5	30	37	33	7	Yes
CHEVROLET Spark Activ	1.4	4	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LGMXV01.4050	small car	5	30	37	33	7	Yes
